,_record_id,_title,_server_updated_at,_updated_by,_geometry,_latitude,_longitude,282_payment_method_that_purchase,283_fulfill_needs,300_did_not_find,237_distance_household_interviewee,299_means_transportation_consumer,238_frequency_buying_store,284_additional_products_store,301_electricity_bill,305_electricity_bill_store,302_water_bill,306_water_bill_store,303_gas_bill,307_gas_bill_store,286_topups,308_topups_in_store,287_wire_transfers,309_wiretransfers_in_store,320_other_services_in_store,304_additional_services_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,240_gender_interviewee,indicate_the_type_of_store,name_of_the_store,storefront_picture_just_once_if_possible
0,060a856c-e3b8-41a7-b680-9756172d1c29,"November 12, 2022",2022-11-12 22:43:08 UTC,Ulises Núñez Bautista,SRID=4326;POINT(-98.2349802856 19.0598413203),19.0598413203,-98.2349802856,Efectivo,no,agua de coco,0 a 3 cuadras,A pie,1,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),no,Sistema de agua,no,Proveedor de gas,no,No lo hago,no,Banco,no,no,y_servicio_adicional,1,0,0,0,0,35,Male,Cafeteria,Paleteria El Carmen,no_photo
1,c42fdf22-b93b-443e-8f46-6043613cb0c3,"November 12, 2022",2022-11-12 22:15:02 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2335660729 19.05847939),19.05847939,-98.2335660729,Efectivo,yes,y_producto,7 a 10 cuadras,A pie,1,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,Banco,no,no,y_servicio_adicional,1,2,0,35,50,27,Female,Grocery store (aka. nanostore),Gerardo Saénz,no_photo
2,3ccaedc0-949e-4555-afad-b2e1d77c3219,"November 12, 2022",2022-11-12 22:15:02 UTC,Salomon Abdala Perez,SRID=4326;POINT(-98.2303385023 19.0620767997),19.0620767997,-98.2303385023,Efectivo,yes,y_producto,más de 10 cuadras,Automóvil,1,y_producto_adicional,CFE,yes,Tienda de conveniencia (e.g. OXXO),yes,Proveedor de gas,yes,"Supermercado,Tienda de conveniencia (e.g. OXXO)",yes,Banco,no,no,y_servicio_adicional,0,0,0,40,25,42,Female,Micro-restaurant (aka. fondita),Rozt,1 Photo
3,91d8a240-af2c-451b-900f-3480f82e05db,"November 12, 2022",2022-11-12 20:41:38 UTC,Jorge Alberto Ostorga Flores,SRID=4326;POINT(-98.2329163449 19.0555346049),19.0555346049,-98.2329163449,Tarjeta de débito y/o crédito,yes,y_producto,4 a 6 cuadras,Motocicleta,1,y_producto_adicional,Supermercado,no,Supermercado,no,Proveedor de gas,no,No lo hago,no,Banco,no,no,y_servicio_adicional,2,3,0,0,0,27,Female,Cafeteria,Café Colibrí,1 Photo
4,3efefc56-bd45-4e4a-bf02-ab725e9fb41a,"November 12, 2022",2022-11-12 19:49:13 UTC,Jorge Alberto Ostorga Flores,SRID=4326;POINT(-98.2329944224 19.0590117522),19.0590117522,-98.2329944224,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,1,y_producto_adicional,CFE,no,Supermercado,no,Proveedor de gas,no,Supermercado,no,No lo hago,no,no,y_servicio_adicional,2,5,0,0,50,35,Female,Cafeteria,La fête,1 Photo
7,3231569e-f89a-4904-88e5-a6939c8a2860,"November 4, 2022",2022-11-11 23:12:50 UTC,Hiram Jiménez,SRID=4326;POINT(-98.3104972 19.0644612),19.0644612,-98.3104972,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,1,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),yes,"No lo hago,Sistema de agua",yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,yes,no,y_servicio_adicional,1,0,0,80,80,38,Female,Butcher shop,Carniceria la sorpresa ,1 Photo
8,3a5b7111-ffaa-48b3-9ec4-125a94580b66,"November 9, 2022",2022-11-11 22:08:26 UTC,José Varela,SRID=4326;POINT(-98.3113835 19.060884),19.060884,-98.3113835,Efectivo,yes,y_producto,7 a 10 cuadras,A pie,3,y_producto_adicional,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,"Fonda,Tiendita",yes,Banco,yes,yes,Ninguno,0,0,0,100,100,18,Male,Grocery store (aka. nanostore),Tienda Jaime,1 Photo
9,70f001bf-b020-413f-967f-c7d558c9f6be,"November 10, 2022",2022-11-11 17:23:45 UTC,Manuel Flores,SRID=4326;POINT(-98.2154550929 19.0183906637),19.0183906637,-98.2154550929,Efectivo,yes,y_producto,0 a 3 cuadras,A pie,2,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,yes,Tienda de conveniencia (e.g. OXXO),yes,"Tienda de conveniencia (e.g. OXXO),Tiendita",yes,Tienda de conveniencia (e.g. OXXO),yes,no,y_servicio_adicional,1,4,0,8,8,20,Female,Grocery store (aka. nanostore),Frutas y snack bar,2 Photos
10,0c23bf28-c128-48c6-b42e-c578c4e59862,"November 10, 2022",2022-11-11 17:23:44 UTC,Manuel Flores,SRID=4326;POINT(-98.215541169 19.0183779545),19.0183779545,-98.215541169,Efectivo,yes,y_producto,0 a 3 cuadras,Automóvil,5,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),yes,Sistema de agua,yes,Proveedor de gas,yes,No lo hago,no,No lo hago,yes,yes,Papeleria,2,5,0,8,8,21,Male,Grocery store (aka. nanostore),Los 3 compadres,1 Photo
12,691fc5cc-0002-44b0-8fac-499ab192758e,"November 10, 2022",2022-11-10 20:29:12 UTC,Daniel Serrano,SRID=4326;POINT(-98.2632802 19.0345269),19.0345269,-98.2632802,Efectivo,yes,y_producto,0 a 3 cuadras,A pie,2,y_producto_adicional,"CFE,Tiendita",no,"Sistema de agua,Tiendita",yes,Proveedor de gas,no,"Tienda de conveniencia (e.g. OXXO),Tiendita",yes,"Banco,Tienda de conveniencia (e.g. OXXO)",no,no,y_servicio_adicional,1,0,0,20,0,40,Male,Butcher shop,Pollería ,1 Photo
13,fb68965b-edd7-4623-91dc-fd75c0d0be57,"November 10, 2022",2022-11-10 20:25:37 UTC,Daniel Serrano,SRID=4326;POINT(-98.2632757723 19.0344490665),19.0344490665,-98.2632757723,Efectivo,yes,y_producto,4 a 6 cuadras,A pie,2,y_producto_adicional,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,Banco,no,no,y_servicio_adicional,2,0,0,15,15,30,Female,Butcher shop,Pollería ,1 Photo
14,84679011-2e04-462b-8ef3-d219ad8bc841,"November 10, 2022",2022-11-10 20:19:09 UTC,Daniel Serrano,SRID=4326;POINT(-98.2625455409 19.0356886303),19.0356886303,-98.2625455409,Efectivo,yes,y_producto,4 a 6 cuadras,A pie,1,y_producto_adicional,CFE,yes,Sistema de agua,yes,Proveedor de gas,no,"Tienda de conveniencia (e.g. OXXO),Tiendita",yes,Banco,no,yes,Pago de servicios,2,1,0,25,10,35,Male,Grocery store (aka. nanostore),Urigama,1 Photo
15,7733ef86-89bc-4ece-82ed-4b92366c07ab,"November 10, 2022",2022-11-10 20:06:53 UTC,Daniel Serrano,SRID=4326;POINT(-98.2625173777 19.035646794),19.035646794,-98.2625173777,Efectivo,yes,y_producto,4 a 6 cuadras,A pie,3,y_producto_adicional,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,no,y_servicio_adicional,1,0,0,25,30,14,Male,Grocery store (aka. nanostore),Urigama,1 Photo
16,62be24fe-fb4e-4c2d-bccb-783e76b172e3,"November 10, 2022",2022-11-10 20:01:37 UTC,Daniel Serrano,SRID=4326;POINT(-98.2624756 19.0357912),19.0357912,-98.2624756,Efectivo,yes,y_producto,7 a 10 cuadras,A pie,1,y_producto_adicional,CFE,no,Sistema de agua,no,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),no,Banco,no,no,y_servicio_adicional,2,0,0,50,20,25,Male,Grocery store (aka. nanostore),Croquetería & accesorios para tu mascota,1 Photo
17,313e2efe-ab9b-48a1-be74-6dcc0b16d483,"November 10, 2022",2022-11-10 19:56:19 UTC,Daniel Serrano,SRID=4326;POINT(-98.2623266056 19.0361783046),19.0361783046,-98.2623266056,Efectivo,yes,y_producto,0 a 3 cuadras,A pie,2,y_producto_adicional,"Supermercado,Tienda de conveniencia (e.g. OXXO),Tiendita",no,"Sistema de agua,Tienda de conveniencia (e.g. OXXO),Tiendita",no,"Proveedor de gas,Supermercado,Tienda de conveniencia (e.g. OXXO),Tiendita",no,"Tienda de conveniencia (e.g. OXXO),Tiendita",no,Tienda de conveniencia (e.g. OXXO),no,no,y_servicio_adicional,0,0,0,15,15,54,Female,Dairy products,Don Beto ,1 Photo
18,3a0ae19e-eaae-4809-8029-c2c025f9045a,"November 10, 2022",2022-11-10 19:50:41 UTC,Manuel Flores,SRID=4326;POINT(-98.2170814276 19.0197941918),19.0197941918,-98.2170814276,Efectivo,yes,y_producto,0 a 3 cuadras,A pie,5,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),no,Banco,no,"Banco,Tienda de conveniencia (e.g. OXXO)",no,Tienda de conveniencia (e.g. OXXO),yes,"Banco,Tienda de conveniencia (e.g. OXXO)",no,no,y_servicio_adicional,2,0,0,10,10,46,Male,Grocery store (aka. nanostore),La aztorga,2 Photos
19,02e4f514-1de2-4dd5-b16e-e8f83a62ec1f,"November 10, 2022",2022-11-10 19:50:36 UTC,Daniel Serrano,SRID=4326;POINT(-98.2626327127 19.0364229827),19.0364229827,-98.2626327127,Transferencia interbancaria,no,Pechugas,4 a 6 cuadras,A pie,3,Queso,"CFE,Tienda de conveniencia (e.g. OXXO)",yes,Sistema de agua,yes,Proveedor de gas,yes,No lo hago,no,Tienda de conveniencia (e.g. OXXO),no,yes,Pagos de servicios públicos y más variedad de quesos,0,1,0,20,20,22,Male,Produce (fruits & vegetables),Pollería Rosi ,1 Photo
20,beb77ac6-85a0-4caf-a7e7-59996bcbbd7f,"November 10, 2022",2022-11-10 19:42:10 UTC,Daniel Serrano,SRID=4326;POINT(-98.2626444474 19.0363551575),19.0363551575,-98.2626444474,Efectivo,yes,y_producto,más de 10 cuadras,Automóvil,2,y_producto_adicional,CFE,no,Sistema de agua,no,Proveedor de gas,no,No lo hago,no,"No lo hago,transferencia ",no,no,y_servicio_adicional,3,1,0,30,15,40,Female,Produce (fruits & vegetables),Pollería Rosi ,1 Photo
21,6570ebe1-68b9-4bee-aa1b-4606d486ff75,"November 10, 2022",2022-11-10 19:33:38 UTC,Fernando Gonzálezinactivo,SRID=4326;POINT(-98.263451 19.0367483),19.0367483,-98.263451,Efectivo,yes,y_producto,más de 10 cuadras,Automóvil,1,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),yes,Internet,yes,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,No lo hago,no,yes,Pago de servicios,2,1,0,40,20,19,Male,Grocery store (aka. nanostore),Miscelanea Juquilita,1 Photo
22,7470508d-e4ea-4a60-ab9e-b96f2f1dc4c8,"November 10, 2022",2022-11-10 19:33:22 UTC,Daniel Serrano,SRID=4326;POINT(-98.2635697 19.0366637),19.0366637,-98.2635697,Efectivo,yes,y_producto,4 a 6 cuadras,A pie,3,y_producto_adicional,CFE,yes,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,"Supermercado,Tienda de conveniencia (e.g. OXXO),Tiendita",no,no,y_servicio_adicional,0,0,0,15,30,27,Female,Dairy products,Misc. Juquilita ,1 Photo
24,3ec7d304-f11a-431d-8731-6e2f29fbb85e,"November 3, 2022",2022-11-10 00:58:39 UTC,Fernando Gonzálezinactivo,SRID=4326;POINT(-98.2666610554 19.0351390524),19.0351390524,-98.2666610554,Efectivo,yes,y_producto,más de 10 cuadras,Transporte público,1,y_producto_adicional,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,no,y_servicio_adicional,1,0,0,100,150,18,Male,Grocery store (aka. nanostore),La Universal,1 Photo
25,0ceecc2f-6bf6-4b37-a39a-d0089a18c0b5,"November 3, 2022",2022-11-10 00:58:38 UTC,Fernando Gonzálezinactivo,SRID=4326;POINT(-98.2671411708 19.0352819935),19.0352819935,-98.2671411708,Tarjeta de débito y/o crédito,yes,y_producto,más de 10 cuadras,Automóvil,1,y_producto_adicional,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,no,y_servicio_adicional,1,0,0,100,100,15,Male,Micro-restaurant (aka. fondita),Taquería Don Jorge,1 Photo
28,667e21ba-3e9f-4f4d-b23a-495986377506,"November 7, 2022",2022-11-10 00:00:57 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2488052547 19.0319169806),19.0319169806,-98.2488052547,Tarjeta de débito y/o crédito,yes,y_producto,más de 10 cuadras,Automóvil,1,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),yes,Sistema de agua,yes,Proveedor de gas,yes,Tienda de conveniencia (e.g. OXXO),yes,"Banco,Tienda de conveniencia (e.g. OXXO)",yes,no,y_servicio_adicional,2,2,0,25,25,18,Male,Grocery store (aka. nanostore),SIX,no_photo
31,71df3b78-0538-44d6-a483-03111d32a2f0,"November 7, 2022",2022-11-10 00:00:53 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2502124086 19.0265566535),19.0265566535,-98.2502124086,Efectivo,yes,y_producto,0 a 3 cuadras,A pie,7,y_producto_adicional,Tienda de conveniencia (e.g. OXXO),yes,Sistema de agua,yes,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,Banco,yes,no,y_servicio_adicional,0,0,0,50,50,65,Female,Grocery store (aka. nanostore),"FRUTAS, VERDURAS Y ABARROTES D’NYS",1 Photo
32,5453a849-f695-4f4a-bb8e-0e81eabda7df,"November 7, 2022",2022-11-10 00:00:52 UTC,Pablo Jesús Pérez Franklin,SRID=4326;POINT(-98.2492511719 19.0256704332),19.0256704332,-98.2492511719,Efectivo,yes,y_producto,7 a 10 cuadras,Automóvil,4,y_producto_adicional,"CFE,Celular (aplicación)",yes,Sistema de agua,yes,Proveedor de gas,no,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),no,yes,Servicio de recarga ,1,0,0,50,100,42,Female,Produce (fruits & vegetables),ABARROTES FRUTAS Y VERDURAS “HERNÁNDEZ”,1 Photo
34,d858040d-2adb-4830-84b4-407d0de306c8,"November 4, 2022",2022-11-09 23:32:33 UTC,José Zapata,SRID=4326;POINT(-98.217873 19.01854),19.01854,-98.217873,Efectivo,yes,y_producto,0 a 3 cuadras,A pie,4,y_producto_adicional,CFE,yes,Sistema de agua,yes,Aplicación,yes,Tienda de conveniencia (e.g. OXXO),yes,Tienda de conveniencia (e.g. OXXO),yes,yes,Pagos,2,2,0,30,30,20,Male,Grocery store (aka. nanostore),Recaudattán,1 Photo
36,328e10e9-cc6d-47d5-8cee-1cc56e2201bd,"November 9, 2022",2022-11-09 23:19:12 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1656574458 19.0723740694),19.0723740694,-98.1656574458,Efectivo,yes,y_producto,0 a 3 cuadras,A pie,5,y_producto_adicional,App,no,App,no,App,no,App,yes,No lo hago,no,no,y_servicio_adicional,3,1,0,0,0,33,Female,Micro-restaurant (aka. fondita),Antojitos ,1 Photo
37,a952bc44-ff6f-4c68-828f-594566388269,"November 9, 2022",2022-11-09 23:19:12 UTC,Amaranta Hernández,SRID=4326;POINT(-98.1666609272 19.0697383098),19.0697383098,-98.1666609272,Efectivo,yes,y_producto,4 a 6 cuadras,A pie,2,y_producto_adicional,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,No lo hago,no,no,y_servicio_adicional,2,1,0,0,0,21,Female,Grocery store (aka. nanostore),El supercito ,1 Photo
